"","name","city","prim","sec","tert","quart","state","stars"
"1463","Mario's South Side Saloon","Pittsburgh","Bars"," Nightlife",NA,NA,"PA",3.37735849056604
"1464","Mario's Westside Market","Las Vegas","Food"," Soul Food"," Grocery",NA,"NV",3.90566037735849
"1465","Mariscos Acapulco","Phoenix","Seafood"," Mexican",NA,NA,"AZ",4.21052631578947
"1466","Mariscos Altata","Phoenix","Mexican",NA,NA,NA,"AZ",3.5
"1467","Mariscos Chihuahua","Phoenix","Mexican",NA,NA,NA,"AZ",3.92857142857143
"1468","Mariscos Ensenada","Phoenix","Seafood"," Fish & Chips"," Mexican",NA,"AZ",4.24324324324324
"1469","Mariscos Ensenada 4","Phoenix","Seafood",NA,NA,NA,"AZ",2.16666666666667
"1470","Mariscos Mi Lindo Mazatlan","Phoenix","Mexican",NA,NA,NA,"AZ",2.42857142857143
"1471","Mariscos Playa Hermosa","Phoenix","Seafood"," Mexican",NA,NA,"AZ",4.29323308270677
"1472","Mark's Grille & Catering","Pittsburgh","Caterers"," American (Traditional)"," Event Planning & Services",NA,"PA",4
"1473","Market Cafe","Tempe","Cafes",NA,NA,NA,"AZ",3.33333333333333
"1474","Marnee Thai Restaurant","Las Vegas","Thai",NA,NA,NA,"NV",3.41025641025641
"1475","Matador Restaurant","Phoenix","Greek"," Mexican",NA,NA,"AZ",2.8125
"1476","Matt's Chicago Dog","Charlotte","Burgers"," Hot Dogs"," Sandwiches",NA,"NC",4.09259259259259
"1477","Matta's Restaurant","Mesa","Mexican",NA,NA,NA,"AZ",3.875
"1478","Matthews Ale House","Matthews","Pubs"," Bars"," Nightlife",NA,"NC",3
"1479","Maui Rose Hawaiian Bbq","Las Vegas","Hawaiian",NA,NA,NA,"NV",3.5
"1480","Max's Allegheny Tavern","Pittsburgh","German"," Pubs"," Bars"," Nightlife","PA",3.890625
"1481","Max & Erma's","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",2.64705882352941
"1482","Max & Erma's Restaurants","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",3.23529411764706
"1483","Maxim Restaurant","Phoenix","Vietnamese"," Chinese",NA,NA,"AZ",4.00714285714286
"1484","May Garden Restaurant","Phoenix","Buffets"," Chinese",NA,NA,"AZ",3.96666666666667
"1485","McAlister's Deli","Charlotte","Delis"," Sandwiches"," Salad",NA,"NC",3.61290322580645
"1486","McCormick & Schmicks Seafood Restaurant","Phoenix","Seafood"," American (Traditional)",NA,NA,"AZ",3.84090909090909
"1487","McDonald's","West Mifflin","Burgers"," Fast Food",NA,NA,"PA",2.25071770334928
"1488","McDonalds","Gold Canyon","Burgers"," Fast Food",NA,NA,"AZ",2.05263157894737
"1489","McDuffy's-Peoria","Peoria","Nightlife",NA,NA,NA,"AZ",3.3125
"1490","McGovern's  Enterprises","Sun Prairie","Burgers"," Steakhouses"," Sandwiches",NA,"WI",3.375
"1491","McGrath's Fish House","Mesa","Seafood",NA,NA,NA,"AZ",2.25
"1492","McGurkee's Italian Kitchen","Phoenix","Greek"," Italian"," Sandwiches",NA,"AZ",4.31730769230769
"1493","McHale's","Fort Mill","Bars"," American (Traditional)"," Nightlife",NA,"SC",3.35714285714286
"1494","McIntosh's Steaks & Seafood","Charlotte","Seafood"," Steakhouses",NA,NA,"NC",4.75
"1495","McMashers Sports Bar & Grill","Casa Grande","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","AZ",4.10810810810811
"1496","McNinch House Restaurant","Charlotte","American (New)"," Southern"," French",NA,"NC",4.03225806451613
"1497","Me Lyng Restaurant","Homestead","Vietnamese"," Chinese",NA,NA,"PA",3.21052631578947
"1498","Mecca Sports Bar & Grill","Wickenburg","Nightlife"," Bars"," American (New)"," Sports Bars","AZ",3.28571428571429
"1499","Mediterranean Cafe","Madison","Greek"," Mediterranean",NA,NA,"WI",4.45454545454545
"1500","Mediterranean House","Phoenix","Greek"," Mediterranean"," Middle Eastern",NA,"AZ",3.83333333333333
"1501","Medizona","Scottsdale","",NA,NA,NA,"AZ",3.92307692307692
"1502","Memphis Championship Barbecue","Las Vegas","Barbeque",NA,NA,NA,"NV",2.93939393939394
"1503","Menus Restaurant","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.8
"1504","Mercado Y Carniceria Sepulved A","Phoenix","Mexican",NA,NA,NA,"AZ",3.75
"1505","Mercury Cafe","Madison","Dive Bars"," Greek"," Bars"," Nightlife","WI",2.6
"1506","Merry-Ann's Diner","Champaign","Breakfast & Brunch"," Diners",NA,NA,"IL",3
"1507","Mert's Heart & Soul","Charlotte","Soul Food"," Southern",NA,NA,"NC",3.77229601518027
"1508","Mesquite Grill and Sports Bar","Gilbert","Nightlife"," Bars"," Sports Bars",NA,"AZ",3.68421052631579
"1509","Mi Amigo's Mexican Grill","Phoenix","Mexican",NA,NA,NA,"AZ",2.98245614035088
"1510","Mi Amigo Ricardo","Casa Grande","Mexican",NA,NA,NA,"AZ",3.40909090909091
"1511","Mi Cocina","Middleton","Mexican",NA,NA,NA,"WI",3.05263157894737
"1512","Mi Comida Restaurante Latino","Phoenix","Latin American",NA,NA,NA,"AZ",4.44508670520231
"1513","Mi Patio","Phoenix","Mexican",NA,NA,NA,"AZ",3.86969696969697
"1514","Mi Pueblo","Phoenix","Breakfast & Brunch"," Mexican"," Diners",NA,"AZ",4.15957446808511
"1515","Mi Pueblo Mexican Food","Phoenix","Mexican",NA,NA,NA,"AZ",4.17910447761194
"1516","Michael's Frozen Custard","Madison","Food"," Ice Cream & Frozen Yogurt"," "," Burgers","WI",3.38461538461538
"1517","Michael's Pizza Bar & Restaurant","Pittsburgh","Pizza",NA,NA,NA,"PA",4.38636363636364
"1518","Michael's Restaurant & Lounge","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",1.71428571428571
"1519","Michelina's","Phoenix",""," Italian",NA,NA,"AZ",4.17021276595745
"1520","Mickey & Mooch","Charlotte","Steakhouses"," Seafood"," American (New)",NA,"NC",3.28813559322034
"1521","Micky's Hot Dogs","Mesa","Hot Dogs"," Mexican",NA,NA,"AZ",4.11111111111111
"1522","Middle East Deli","Charlotte","Food"," Grocery"," Middle Eastern",NA,"NC",2.6
"1523","Middleton Sport Bowl","Middleton","Active Life"," Bowling",NA,NA,"WI",3.5
"1524","Midtown Sundries","Charlotte","Nightlife"," Bars"," Sports Bars",NA,"NC",3.125
"1525","Midwestern Meats","Mesa","Bakeries"," Food"," Specialty Food"," Meat Shops, American (New)","AZ",3.76712328767123
"1526","Midwestern Restaurant","Mesa","American (New)",NA,NA,NA,"AZ",2.8
"1527","Miguel's Restaurants","Charlotte","Mexican",NA,NA,NA,"NC",4.15079365079365
"1528","Mikado Sushi","Chandler","Sushi Bars",NA,NA,NA,"AZ",3.81512605042017
"1529","Mike & Tony's Gyros","Pittsburgh","Greek"," Mediterranean",NA,NA,"PA",4.17647058823529
"1530","Mikey's Family Restaurant","Mesa","Breakfast & Brunch"," Diners",NA,NA,"AZ",3.90909090909091
"1531","Mikey's Restaraunt","Buckeye","Mexican",NA,NA,NA,"AZ",4.33333333333333
"1532","Mildred's Sandwich Shop","Madison","Sandwiches",NA,NA,NA,"WI",3.53333333333333
"1533","Milio's Sandwiches","Madison","Sandwiches",NA,NA,NA,"WI",3.6
"1534","Miller's Seafood House","Pittsburgh","Seafood",NA,NA,NA,"PA",2.75
"1535","Mim's Burger & Mexican Food","Phoenix","Burgers"," Mexican",NA,NA,"AZ",3.80645161290323
"1536","Mimi's Cafe","Phoenix","Breakfast & Brunch"," American (Traditional)",NA,NA,"AZ",3.07407407407407
"1537","Mimis Cafe","Mesa","Breakfast & Brunch"," American (Traditional)",NA,NA,"AZ",3.02846975088968
"1538","Mimosa Grill","Charlotte","American (New)"," Southern",NA,NA,"NC",3.884
"1539","Mineo's Pizza House","Pittsburgh","Pizza",NA,NA,NA,"PA",3.78350515463918
"1540","Ming's Pagoda","Phoenix","Chinese",NA,NA,NA,"AZ",3.31428571428571
"1541","Mining Camp Restaurant","Apache Junction","American (Traditional)"," Barbeque",NA,NA,"AZ",3.75510204081633
"1542","Mint Thai Cafe","Gilbert","Thai"," Filipino"," Vegan",NA,"AZ",3.8252427184466
"1543","Minutello's Restaurant & Lounge","Pittsburgh","Italian"," Pizza",NA,NA,"PA",3.11111111111111
"1544","Miracle Mile Deli","Phoenix","Delis",NA,NA,NA,"AZ",4.16666666666667
"1545","Miracle Mile Delicatessen","Phoenix","Food"," Desserts"," Delis"," Sandwiches","AZ",3.98484848484848
"1546","Miro Spanish Grill","Charlotte","Basque"," Spanish"," Mediterranean",NA,"NC",3.77777777777778
"1547","Mister Wong","Phoenix","Chinese",NA,NA,NA,"AZ",3.76470588235294
"1548","Mitchell's Fish Market","Pittsburgh/Waterfront","Seafood",NA,NA,NA,"PA",3.51111111111111
"1549","Mixteca Mexican Food","Glendale","Mexican",NA,NA,NA,"AZ",3.53703703703704
"1550","Moe's Southwest Grill","Charlotte","Mexican",NA,NA,NA,"NC",3.12
"1551","Mohan's Restaurant","Pittsburgh","American (New)",NA,NA,NA,"PA",3.41666666666667
"1552","Mokis Hawaiian Grill","Mesa","Hawaiian",NA,NA,NA,"AZ",3.3304347826087
"1553","Monical's Pizza","Urbana","Pizza",NA,NA,NA,"IL",3.33333333333333
"1554","Monkeyshines Bar & Grill","Fitchburg","Burgers"," Bars"," American (Traditional)"," Nightlife","WI",2.90909090909091
"1555","Monona Garden Family Restaurant","Monona","American (Traditional)",NA,NA,NA,"WI",4.13636363636364
"1556","Monte's Grill & Pub","Verona","Bars"," American (Traditional)"," Nightlife"," , Sports Bars, Sandwiches","WI",3.6
"1557","Monte Cello's Downtown","Pittsburgh","Pizza"," Italian"," Sandwiches",NA,"PA",2.9
"1558","Monterey Bay Fish Grotto","Pittsburgh","Seafood",NA,NA,NA,"PA",4.11764705882353
"1559","Monterrey","Charlotte","Mexican",NA,NA,NA,"NC",3.38636363636364
"1560","Monterrey Mexican Restaurant","Matthews","Mexican",NA,NA,NA,"NC",3.48275862068966
"1561","Montesano's Italian Deli","Las Vegas","Delis"," Italian",NA,NA,"NV",4.75
"1562","Monticello Restaurant","Charlotte","Breakfast & Brunch"," American (New)"," Southern",NA,"NC",3.58333333333333
"1563","Monty's Blue Plate Diner","Madison","American (Traditional)"," Diners",NA,NA,"WI",4.04310344827586
"1564","Moonlite Cafe","Pittsburgh",""," Italian",NA,NA,"PA",4.44444444444444
"1565","Morning Star Cafe","Tempe","Sandwiches"," Breakfast & Brunch"," "," Event Planning & Services, Caterers","AZ",4.53703703703704
"1566","Morton's The Steakhouse","Pittsburgh","Steakhouses",NA,NA,NA,"PA",3.57083333333333
"1567","Mother's","Phoenix","",NA,NA,NA,"AZ",4.66666666666667
"1568","Moto Sushi","Phoenix","Sushi Bars"," Japanese",NA,NA,"AZ",3.39357429718876
"1569","Mr Chao's Asian Bistro","Phoenix","Asian Fusion"," Chinese",NA,NA,"AZ",3.88888888888889
"1570","Mr D's Sportsbar & Grill","Las Vegas","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","NV",3.825
"1571","Mr G's","Charlotte","Greek"," Barbeque",NA,NA,"NC",3.8125
"1572","Mr Goodcents Subs & Pastas","Tempe","Sandwiches",NA,NA,NA,"AZ",2.91666666666667
"1573","Mr Hoagie","Dravosburg","Fast Food",NA,NA,NA,"PA",4.66666666666667
"1574","Mr Roberts","Madison","Bars"," Dive Bars"," Burgers"," Nightlife, American (New)","WI",3.36363636363636
"1575","Mr Submarine","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.88235294117647
"1576","Mr. Chop Chop","Las Vegas","Thai"," Chinese",NA,NA,"NV",3.59322033898305
"1577","Mr. Goodcents","Peoria","Sandwiches",NA,NA,NA,"AZ",4
"1578","Mr. Hunan","Tempe","Chinese",NA,NA,NA,"AZ",2.47272727272727
"1579","Mr. K's Soft Ice Cream & Drive In","Charlotte","Food"," Burgers"," Ice Cream & Frozen Yogurt",NA,"NC",3.98765432098765
"1580","Mucho Taco","Chandler","Breakfast & Brunch"," Mexican"," Salad",NA,"AZ",3.95522388059702
"1581","Mugshots Cafe","Pittsburgh","Chicken Wings"," Bars"," American (Traditional)"," Nightlife","PA",3.66666666666667
"1582","Mullaneys Harp and Fiddle","Pittsburgh","Pubs"," Irish"," Nightlife"," Bars","PA",3.07407407407407
"1583","Mulligan's Restaurant","Phoenix","Burgers",NA,NA,NA,"AZ",5
"1584","Mulligans Bar & Grill","North Las Vegas","Bars"," American (Traditional)"," Nightlife",NA,"NV",3.85714285714286
"1585","Mullin's Diner","Pittsburgh","",NA,NA,NA,"PA",3.77777777777778
"1586","Munch-A-Sub","Las Vegas","Sandwiches",NA,NA,NA,"NV",4.20408163265306
"1587","Murphy's Pub","Champaign","Pubs"," Bars"," American (New)"," Nightlife","IL",3.70652173913043
"1588","Murray Avenue Grill","Pittsburgh","American (New)",NA,NA,NA,"PA",4.02380952380952
"1589","Musashi Japanese Restaurant","Charlotte","Japanese",NA,NA,NA,"NC",4.09
"1590","Mustang Sally's Diner","Henderson","American (Traditional)",NA,NA,NA,"NV",3.2
"1591","My Big Fat Greek Restaurant","Tempe","Greek"," American (Traditional)"," Mediterranean",NA,"AZ",3.38461538461538
"1592","My Favorite Martin's Restaurant","Surprise","Mexican",NA,NA,NA,"AZ",3.5
"1593","My Florist Cafe","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.04878048780488
"1594","My Mother's Restaurant","Phoenix","Food"," Desserts"," Pizza"," Sandwiches","AZ",3.7029702970297
"1595","My Ngoc Restaurant","Pittsburgh","Vietnamese",NA,NA,NA,"PA",3.2
"1596","My Wine Cellar","Ahwatukee","Gastropubs"," Wine Bars"," Bars"," Nightlife","AZ",4.06201550387597
"1597","Nadia's Restaurant & Grapevine Lounge","Madison","French",NA,NA,NA,"WI",2.875
"1598","Nadine's","Pittsburgh","American (Traditional)"," Diners",NA,NA,"PA",4.17307692307692
"1599","Nakama","Pittsburgh","Sushi Bars"," Japanese",NA,NA,"PA",3.02926829268293
"1600","Nakato Japanese Steakhouse","Charlotte","Steakhouses"," Asian Fusion"," Japanese",NA,"NC",3.79838709677419
"1601","Nam's Noodle","Madison","Vietnamese"," Asian Fusion"," Chinese",NA,"WI",3.25
"1602","Namaste India","Pittsburgh","Indian",NA,NA,NA,"PA",2.92307692307692
"1603","Nancy's Restaurant","Pittsburgh","Breakfast & Brunch"," American (Traditional)",NA,NA,"PA",3.66666666666667
"1604","Nando's Mexican Cafe","Gilbert","Mexican",NA,NA,NA,"AZ",3.48325358851675
"1605","Napoli Pizza","Henderson","Pizza",NA,NA,NA,"NV",2.90393013100437
"1606","Napoli Pizzeria","Pittsburgh","Pizza",NA,NA,NA,"PA",4.10714285714286
"1607","Native Grill & Wings","Phoenix","Bars"," Sports Bars"," Nightlife"," American (New), Chicken Wings","AZ",2.89510489510489
"1608","Native New Yorker","Gilbert","American (Traditional)",NA,NA,NA,"AZ",2.90163934426229
"1609","Nau-Ti-Gal","Madison","Burgers"," Seafood"," American (Traditional)",NA,"WI",2.62790697674419
"1610","Ned's Krazy Sub","Mesa","Sandwiches",NA,NA,NA,"AZ",3.80357142857143
"1611","Ned Kelly's Steakhouse","Urbana","American (New)",NA,NA,NA,"IL",3.33333333333333
"1612","Nellie's Sandwiches","Pittsburgh","Middle Eastern"," Sandwiches",NA,NA,"PA",3
"1613","Nello's","Tempe","Pizza",NA,NA,NA,"AZ",3.47826086956522
"1614","Nello's Pizza","Scottsdale","Italian"," Pizza",NA,NA,"AZ",3.62025316455696
"1615","Nello's Pizza Mesa","Mesa","Italian"," Pizza"," Gluten-Free",NA,"AZ",4.29370629370629
"1616","Nellos Pizza","Phoenix","Italian"," Pizza"," Sandwiches",NA,"AZ",4.125
"1617","Nevada Chicken Cafe","Las Vegas","Salad"," Sandwiches"," Barbeque",NA,"NV",3.49740932642487
"1618","New Asian Kitchen","Phoenix","Chinese",NA,NA,NA,"AZ",3.97402597402597
"1619","New China","Belmont","Chinese",NA,NA,NA,"NC",3.16666666666667
"1620","New China Buffet","Mesa","Buffets"," Chinese",NA,NA,"AZ",1.27272727272727
"1621","New China Gate","Scottsdale","Chinese",NA,NA,NA,"AZ",3.73255813953488
"1622","New Dragon Chinese Restaurant","Delmont","Chinese",NA,NA,NA,"PA",2.5
"1623","New Dumpling House","Pittsburgh","Asian Fusion"," Chinese",NA,NA,"PA",3.12
"1624","New Garden Restaurant","Phoenix","Chinese",NA,NA,NA,"AZ",4.1875
"1625","New Hong Kong","Phoenix","Buffets"," Chinese",NA,NA,"AZ",3.03030303030303
"1626","New North China","Phoenix","Chinese",NA,NA,NA,"AZ",3.27586206896552
"1627","New Orleans Take-Out","Madison","Sandwiches"," Cajun/Creole"," Seafood",NA,"WI",4.1864406779661
"1628","New Seoul Korean","Madison","Korean",NA,NA,NA,"WI",3.47619047619048
"1629","New Sun Star Super Buffet","Phoenix","Buffets"," Chinese",NA,NA,"AZ",2.4
"1630","New Tokyo Food Market","Phoenix","Food"," Ethnic Food"," Specialty Food"," Japanese","AZ",4.5
"1631","New Way Gourmet","Pittsburgh","Delis"," Pizza"," Mediterranean",NA,"PA",4.71428571428571
"1632","New York Bagels 'N Bialys","Scottsdale","Food"," Breakfast & Brunch"," Bagels"," Delis","AZ",3.61607142857143
"1633","New York Deli & Restaurant","Charlotte","Delis"," Sandwiches",NA,NA,"NC",3.38888888888889
"1634","New York Pizza & Pasta","Las Vegas","Italian"," Pizza",NA,NA,"NV",3.92465753424658
"1635","New York Pizza Express","Matthews","Pizza",NA,NA,NA,"NC",3.84210526315789
"1636","Niccoli's Italian Grocery & Deli","Phoenix","Food"," Delis"," Italian"," Grocery","AZ",4.5
"1637","Nick's at Grayhawk","Scottsdale",""," Pizza"," Italian",NA,"AZ",3.25
"1638","Nick's Cafe","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.6
"1639","Nick's Pizza","Castle Shannon","Pizza",NA,NA,NA,"PA",3.375
"1640","Nick's Place","Pittsburgh","Pizza",NA,NA,NA,"PA",3.5
"1641","Nicky's Grant Street","Pittsburgh","Sandwiches"," Diners",NA,NA,"PA",2.66666666666667
"1642","Nico's Mexican Food","Casa Grande","Mexican",NA,NA,NA,"AZ",4
"1643","Nico's Recovery Room","Pittsburgh","Bars"," American (Traditional)"," Nightlife",NA,"PA",3.52631578947368
"1644","Nied's Hotel","Pittsburgh","Dive Bars"," Bars"," American (Traditional)"," Nightlife","PA",3.26666666666667
"1645","Nielsen's Frozen Custard","Mesa","Food"," Ice Cream & Frozen Yogurt"," "," Sandwiches, Burgers","AZ",3.15909090909091
"1646","Nielsen's Frozen Custard On Baseline","Gilbert","Food"," Ice Cream & Frozen Yogurt"," Sandwiches",NA,"AZ",3.57142857142857
"1647","Niki's Food Shop","Charlotte","Sandwiches"," Salad",NA,NA,"NC",3.4
"1648","Nikki Lee's Sports Pub & Grill","Las Vegas","Pizza"," Bars"," "," Sports Bars, Nightlife","NV",3.6
"1649","Nikko Japanese Restaurant & Sushi Bar","Charlotte","Sushi Bars"," Japanese",NA,NA,"NC",3.36538461538462
"1650","Niko's Grill","Charlotte","Greek",NA,NA,NA,"NC",3.27272727272727
"1651","Ninety's Ice Cream & Sandwiches","Charlotte","Food"," Ice Cream & Frozen Yogurt"," Sandwiches",NA,"NC",3.76923076923077
"1652","Ninja Japanese Restaurant","Chandler","Sushi Bars"," Japanese",NA,NA,"AZ",3.23357664233577
"1653","Nino's Pizza & Pasta","Charlotte","Pizza",NA,NA,NA,"NC",3.375
"1654","Nino's Pizzeria & Wings","Glendale","Pizza"," Chicken Wings",NA,NA,"AZ",3.72727272727273
"1655","Niro's Gyros","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",3.76774193548387
"1656","Nitaya Thai Restaurant","Champaign","Thai",NA,NA,NA,"IL",3.25
"1657","Nitty Gritty Middleton","Middleton","Bars"," American (Traditional)"," Nightlife",NA,"WI",3.09090909090909
"1658","Nixon's","Phoenix","Bars"," American (Traditional)"," Nightlife",NA,"AZ",3.75
"1659","Niyoshi II Japanese Express Restaurant","Charlotte","Japanese",NA,NA,NA,"NC",3.125
"1660","No 1 China House","Pittsburgh","Chinese",NA,NA,NA,"PA",2.75
"1661","Noble's Restaurant","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.8
"1662","Noodles & Company","Madison","Italian"," Comfort Food"," Asian Fusion",NA,"WI",3.16793893129771
"1663","Normandie","Las Vegas","Sandwiches"," French",NA,NA,"NV",4.5
"1664","North Shore Deli","Pittsburgh","Delis",NA,NA,NA,"PA",4.3
"1665","Northside Nathan's Pizza","Las Vegas","Italian"," Pizza"," Sandwiches",NA,"NV",3.592
"1666","Nozomi Japanese Restaurant","Las Vegas","Sushi Bars"," Buffets"," Japanese",NA,"NV",3.625
"1667","Number One Wok","Champaign","Chinese",NA,NA,NA,"IL",3.5
"1668","NYPD Pizza","Phoenix","Italian"," Pizza"," Sandwiches",NA,"AZ",3.73985680190931
"1669","O'aces Bar & Grill","Las Vegas","Nightlife",NA,NA,NA,"NV",1.5
"1670","O'Aces Bar & Grill","Las Vegas","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","NV",4.05172413793103
"1671","O'Charley's Restaurant & Bar","Charlotte","Breakfast & Brunch"," American (Traditional)",NA,NA,"NC",2.890625
"1672","Oaxaca Restaurante Y Cantina","Phoenix","Mexican",NA,NA,NA,"AZ",3
"1673","Oaxaca Sky Harbor","Phoenix","Mexican",NA,NA,NA,"AZ",3
"1674","Ocean Grill","Madison","Seafood",NA,NA,NA,"WI",3.52
"1675","Ocean Palace","Fort Mill","",NA,NA,NA,"SC",3.46666666666667
"1676","Ocha Cuisine","Las Vegas","Thai"," Chinese",NA,NA,"NV",4.02857142857143
"1677","Ochoa's Restaurant","Casa Grande","Mexican",NA,NA,NA,"AZ",3.75
"1678","Octagon Cafe","Fountain Hills","Burgers"," Gluten-Free"," Sandwiches",NA,"AZ",3
"1679","Office 5 Bar & Grill","Las Vegas","Bars"," American (Traditional)"," Nightlife",NA,"NV",3
"1680","Office the","Urbana","",NA,NA,NA,"IL",2.5
"1681","Oiga, Mire, Vea Colombian Cuisine","Las Vegas","Latin American"," Colombian",NA,NA,"NV",3.42105263157895
"1682","Old Chicago","Mesa","American (Traditional)"," Pizza"," Salad",NA,"AZ",3.44347826086957
"1683","Old Country Buffet","Mesa","Breakfast & Brunch"," American (New)"," Buffets",NA,"AZ",2.76146788990826
"1684","Old Hickory House Restaurant","Charlotte","Food"," Specialty Food"," Barbeque",NA,"NC",3.71666666666667
"1685","Old Pueblo Restaurant","Florence","Mexican",NA,NA,NA,"AZ",3.07142857142857
"1686","Old Station Sub Shop","Phoenix","Sandwiches",NA,NA,NA,"AZ",3.36666666666667
"1687","Old Time Meat & Deli Shoppe","Champaign","Food"," Specialty Food"," Delis"," Meat Shops","IL",4.8
"1688","Old Town Sarajevo","Phoenix","Food"," Ethnic Food"," "," Modern European, Specialty Food","AZ",4.40116279069767
"1689","Old Town Tortilla Factory","Scottsdale","Nightlife"," Mexican"," Tex-Mex",NA,"AZ",2.91532258064516
"1690","Ole Brass Rail","Phoenix","Bars"," Sports Bars"," Burgers"," Nightlife, Chicken Wings","AZ",3.45833333333333
"1691","Ole Smokehouse 1","Charlotte","Barbeque",NA,NA,NA,"NC",4
"1692","Olive Garden Italian Restaurant","Pittsburgh","Bars"," Salad"," Wine Bars"," Nightlife, Italian","PA",3.1610824742268
"1693","Olive Garden Italian Restaurant ","Charlotte",""," Italian",NA,NA,"NC",3.75
"1694","Olive Or Twist","Pittsburgh","Bars"," Cocktail Bars"," Nightlife"," Lounges, American (New)","PA",3.64024390243902
"1695","Olympic Flame","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",4
"1696","Olympic Gyros","Phoenix","Greek",NA,NA,NA,"AZ",3.80952380952381
"1697","Omaha Steak House","Charlotte","Steakhouses",NA,NA,NA,"NC",2.78260869565217
"1698","Omaha Steakhouse","Phoenix","Steakhouses",NA,NA,NA,"AZ",3.74193548387097
"1699","Omelet House","Las Vegas","Breakfast & Brunch"," American (Traditional)",NA,NA,"NV",4.22830188679245
"1700","Omelet House Summerlin","Las Vegas","Breakfast & Brunch"," Italian",NA,NA,"NV",3.9
"1701","On the Border Mexican Grill & Cantina","Mesa","Mexican",NA,NA,NA,"AZ",2.375
"1702","On The Border Mexican Grill & Cantina","Phoenix","Mexican"," Tex-Mex",NA,NA,"AZ",3.20869565217391
"1703","Ono Hawaiian BBQ","Phoenix","Hawaiian",NA,NA,NA,"AZ",3.21794871794872
"1704","Orange Table","Scottsdale","Breakfast & Brunch"," American (Traditional)",NA,NA,"AZ",3.78153153153153
"1705","Oregano's Pizza Bistro","Phoenix","Italian"," Pizza",NA,NA,"AZ",4.01141078838174
"1706","Organ Stop Pizza","Mesa","Arts & Entertainment"," Pizza"," Nightlife"," Music Venues","AZ",3.6953642384106
"1707","Orient Express","Charlotte","American (Traditional)",NA,NA,NA,"NC",3.33333333333333
"1708","Orient Kitchen","Pittsburgh","Chinese",NA,NA,NA,"PA",3.06521739130435
"1709","Oriental Express","Phoenix","Sushi Bars"," Chinese",NA,NA,"AZ",2.74074074074074
"1710","Original Fish Market","Pittsburgh","Seafood",NA,NA,NA,"PA",2.56521739130435
"1711","Original Hamburger Works","Phoenix","Bars"," Dive Bars"," Burgers"," Nightlife, Sports Bars","AZ",3.68085106382979
"1712","Original Milano's Pizza","Pittsburgh","Pizza",NA,NA,NA,"PA",3.92
"1713","Original Oyster House","Pittsburgh","Seafood",NA,NA,NA,"PA",3.04938271604938
"1714","Original Pancake House","Charlotte","Breakfast & Brunch"," American (Traditional)",NA,NA,"NC",3.7129750982962
"1715","Osaka Japanese Bistro","Henderson","Sushi Bars"," Japanese",NA,NA,"NV",3.82941176470588
"1716","Oscar's Pizza","Phoenix","Pizza",NA,NA,NA,"AZ",2.33333333333333
"1717","Oscar Taylor's","Phoenix","Burgers"," American (New)",NA,NA,"AZ",2.83333333333333
"1718","Otto's Restaurant & Bar","Madison","Seafood"," Steakhouses"," Mediterranean",NA,"WI",4.14
"1719","Otto Pizza & Pastry","Tempe","Pizza",NA,NA,NA,"AZ",4.07964601769912
"1720","Outback Steakhouse","Charlotte","Steakhouses",NA,NA,NA,"NC",3.23687281213536
"1721","P F Chang's","Charlotte","Gluten-Free"," Asian Fusion"," Chinese",NA,"NC",3
"1722","P&G's Pamela's Diner","Pittsburgh","Breakfast & Brunch",NA,NA,NA,"PA",3.99444444444444
"1723","P.F. Chang's","Chandler","Gluten-Free"," Asian Fusion"," Chinese",NA,"AZ",3.39555555555556
"1724","P.F. Chang's China Bistro","West Homestead","Gluten-Free"," Asian Fusion"," Chinese",NA,"PA",3.06849315068493
"1725","Pacific's Cafe","Scottsdale","American (Traditional)",NA,NA,NA,"AZ",2.25
"1726","Paddy's Pour House","Carnegie","Pubs"," Irish"," Nightlife"," Bars","PA",3
"1727","Pagoda Chinese Restaurant","Charlotte","Chinese",NA,NA,NA,"NC",2
"1728","Paisan's","Madison",""," Pizza"," Italian",NA,"WI",3.03370786516854
"1729","Paisley Violin","Phoenix","Greek"," Mediterranean",NA,NA,"AZ",3.69811320754717
"1730","Palermos Pizza","Phoenix","Pizza"," Sandwiches"," Salad",NA,"AZ",3.07142857142857
"1731","Palm Restaurant","Charlotte","Seafood"," Steakhouses",NA,NA,"NC",3.7093023255814
"1732","Palo Verde Lounge","Tempe","Dive Bars"," Bars"," Nightlife"," Lounges","AZ",3.775
"1733","Pamela's","Pittsburgh","Breakfast & Brunch",NA,NA,NA,"PA",3.87037037037037
"1734","Pamela's P & G Diner","Pittsburgh","Breakfast & Brunch"," Diners",NA,NA,"PA",3.80555555555556
